Month and Year,SMW,நாள்,Max.         (Temp) �C,Min.       (Temp) �C,Relative humidity % (Morn.),Relative humidity % (Even.),Rainfall (mm),,,
January 2021,1,0,26,7,21,3,87,67,94,5
,2,7,26,6,22,2,88,75,38,1
,3,14,27,3,20,2,86,61,3,4
,4,21,29,8,20,3,86,50,5,5
,5,28,30,2,20,7,86,42,0,
February 2021,6,35,30,8,17,6,85,33,0,
,7,42,31,9,20,5,84,40,0,5
,8,49,31,1,21,7,84,48,2,4
,9,56,34,6,20,81,29,0,,
March 2021,10,63,34,1,22,5,83,36,0,
,11,70,34,5,22,77,28,0,,
,12,77,35,4,23,6,80,51,0,
,13,84,36,3,24,6,81,39,0,
April 2021,14,91,36,3,24,1,81,38,4,6
,15,98,35,24,5,79,44,3,,
,16,105,34,2,23,7,85,55,17,
,17,112,34,7,24,9,86,54,9,4
May 2021,18,119,35,1,25,6,82,52,3,
,19,126,34,5,23,6,85,54,44,6
,20,133,31,4,24,1,81,64,19,
,21,140,33,24,1,82,52,3,5,
June 2021,22,147,34,3,23,6,83,49,0,
,23,154,33,7,24,1,81,49,0,
,24,161,30,6,23,8,78,62,12,
,25,168,32,1,23,9,78,55,2,
July 2021,26,175,32,7,23,82,52,1,,
,27,182,32,9,24,85,58,7,,
,28,189,30,4,23,4,80,64,5,5
,29,196,29,8,23,2,81,62,15,5
August 2021,30,203,31,23,9,77,59,2,5,
,31,210,32,4,23,82,51,0,,
,32,217,32,5,23,4,85,56,1,
,33,224,31,2,28,7,85,54,11,3
September 2021,34,231,31,3,22,8,85,63,14,2
,35,238,31,1,22,9,85,60,16,
,36,245,36,0,23,4,83,66,5,3
,37,252,30,9,26,9,98,71,1,6
October 2021,38,259,35,4,26,7,96,74,9,5
,39,266,35,6,26,5,99,71,6,6
,40,273,33,7,22,9,87,72,17,3
,41,280,32,4,25,8,99,85,9,8
November 2021,42,287,32,1,25,5,99,76,8,5
,43,294,29,5,22,0,87,66,7,4
,44,301,27,8,22,5,86,69,5,1
,45,308,33,6,25,8,98,64,2,8
December 2021,46,315,32,4,25,0,85,70,0,0
,47,322,33,1,22,3,97,56,0,0
,48,329,29,2,19,4,96,59,2,4
,1,336,29,6,24,2,96,66,0,0
January 2022,2,343,32,2,24,2,97,54,0,0
,3,350,32,4,21,7,86,47,0,0
,4,357,34,9,21,5,96,50,0,0
,5,364,32,5,20,6,85,43,0,0
February 2022,6,371,36,1,21,1,83,44,0,0
,7,378,32,6,22,0,83,39,0,0
,8,385,31,8,21,4,84,40,0,0
,9,392,37,9,22,5,86,40,0,0
March 2022,10,399,39,7,23,1,86,33,0,0
,11,406,35,2,26,7,96,51,1,3
,12,413,40,0,23,9,88,42,0,0
,13,420,40,5,28,2,95,47,1,5
April 2022,14,427,37,9,27,2,97,64,4,4
,15,434,34,7,24,7,86,47,0,0
,16,441,35,3,25,2,83,47,0,4
,17,448,40,0,27,7,94,57,1,0
May 2022,18,455,36,6,27,4,93,66,1,2
,19,462,35,6,27,1,93,66,0,1
,20,469,33,9,23,6,81,57,0,0
