Month and Year,SMW,நாள்,A. rugioperculatus nymph/ leaves/ frond/ tree,P. bondari nymph/ leaves/ frond/ tree,Mallada boniensis,Apertochrysa astur
January 2021,1,0,43.8,31.3,0.10,0.30
,2,7,61.4,53.9,0.30,0.40
,3,14,69.9,58.3,0.30,0.50
,4,21,71.8,65.7,0.40,0.50
,5,28,83.6,68.1,0.40,0.60
February 2021,6,35,104.8,93.9,0.60,0.80
,7,42,108.1,98.4,0.50,0.50
,8,49,92.4,83.5,0.40,0.90
,9,56,123.9,101.3,0.90,1.50
March 2021,10,63,114.8,109.8,0.80,1.80
,11,70,131.7,116.4,1.10,0.80
,12,77,148.5,121.2,1.30,1.80
,13,84,148.9,125.4,1.20,1.30
April 2021,14,91,141.8,121.8,1.50,1.70
,15,98,145.3,123.5,1.30,1.90
,16,105,134.8,119,1.40,1.80
,17,112,144.8,122.5,1.80,2.40
May 2021,18,119,158.1,129.8,0.90,1.20
,19,126,103.8,91.5,1.00,1.50
,20,133,128.1,105.4,1.20,1.80
,21,140,135.5,118.3,1.50,2.20
June 2021,22,147,149.3,141.8,1.70,2.40
,23,154,151.8,145.7,1.30,1.90
,24,161,145.6,131.5,1.50,2.10
,25,168,150.3,139.3,1.30,2.60
July 2021,26,175,155.3,135.8,1.80,2.40
,27,182,149.8,140.5,2.00,2.30
,28,189,145.4,138.1,1.30,2.00
,29,196,141.5,124.4,1.50,2.10
August 2021,30,203,147.8,141.3,1.80,2.40
,31,210,151.5,146.8,1.60,2.30
,32,217,150.3,144.3,1.20,1.90
,33,224,138.8,119.6,1.40,2.00
September 2021,34,231,139.5,121.3,1.00,2.20
,35,238,140.3,123.4,1.60,2.00
,36,245,143.5,125.9,1.40,2.40
,37,252,149.8,131.4,1.60,2.10
October 2021,38,259,144.3,123.8,1.40,2.00
,39,266,141.5,114.9,1.20,1.80
,40,273,138.3,109.8,1.00,2.20
,41,280,143.5,125.8,1.30,2.00
November 2021,42,287,141.3,123.4,0.20,1.70
,43,294,139.8,121.2,1.20,1.90
,44,301,138.4,120.6,1.00,2.00
,45,308,141.8,123.2,1.20,2.40
December 2021,46,315,146.3,123.9,1.80,2.50
,47,322,148.1,131,0.70,2.90
,48,329,140.3,121.8,1.50,2.40
,1,336,149.3,139.8,1.40,2.20
January 2022,2,343,151.8,143.5,1.70,2.50
,3,350,154.8,144.8,1.90,2.30
,4,357,159.4,146.3,1.40,2.50
,5,364,158.6,145.8,1.60,2.90
February 2022,6,371,154.8,146.3,1.90,3.30
,7,378,159.8,147.8,1.50,2.80
,8,385,163.1,145.3,2.00,3.00
,9,392,161.8,143.8,1.90,3.10
March 2022,10,399,160.5,146.1,1.50,2.90
,11,406,158.4,144.3,1.70,2.80
,12,413,159.9,141.3,2.20,3.30
,13,420,157.4,140.1,1.50,2.90
April 2022,14,427,150.8,135.6,1.80,3.00
,15,434,153.8,138.4,2.00,3.20
,16,441,152.1,137.5,1.80,3.50
,17,448,156.4,139.1,1.40,2.80
May 2022,18,455,156.9,140.3,1.70,3.20
,19,462,158.1,143.1,2.50,2.90
,20,469,161.3,148.5,1.90,3.60
